,Pclass,Sex,Age,no_of_siblings_or_partners_onboard,no_of_parents_or_children_onboard,Survived
127,3,0,24.0,0,0,1
452,1,0,30.0,0,0,0
60,3,0,22.0,0,0,0
253,3,0,30.0,1,0,0
775,3,0,18.0,0,0,0
771,3,0,48.0,0,0,0
14,3,1,14.0,0,0,0
174,1,0,56.0,0,0,0
844,3,0,17.0,0,0,0
659,1,0,58.0,0,2,0
802,1,0,11.0,1,2,1
754,2,1,48.0,1,2,1
346,2,1,40.0,0,0,1
679,1,0,36.0,0,1,1
866,2,1,27.0,1,0,1
190,2,1,32.0,0,0,1
276,3,1,45.0,0,0,0
867,1,0,31.0,0,0,0
118,1,0,24.0,0,1,0
283,3,0,19.0,0,0,1
717,2,1,27.0,0,0,1
518,2,1,36.0,1,0,1
134,2,0,25.0,0,0,0
333,3,0,16.0,2,0,0
700,1,1,18.0,1,0,1
113,3,1,20.0,1,0,0
712,1,0,48.0,1,0,1
695,2,0,52.0,0,0,0
537,1,1,30.0,0,0,1
819,3,0,10.0,3,2,0
840,3,0,20.0,0,0,0
84,2,1,17.0,0,0,1
56,2,1,21.0,0,0,1
98,2,1,34.0,0,1,1
18,3,1,31.0,1,0,0
682,3,0,20.0,0,0,0
247,2,1,24.0,0,2,1
97,1,0,23.0,0,1,1
721,3,0,17.0,1,0,0
597,3,0,49.0,0,0,0
799,3,1,30.0,1,1,0
526,2,1,50.0,0,0,1
488,3,0,30.0,0,0,0
777,3,1,5.0,0,0,1
299,1,1,50.0,0,1,1
651,2,1,18.0,0,1,1
641,1,1,24.0,0,0,1
618,2,1,4.0,2,1,1
696,3,0,44.0,0,0,0
205,3,1,2.0,0,1,0
362,3,1,45.0,0,1,0
119,3,1,2.0,4,2,0
763,1,1,36.0,1,2,1
794,3,0,25.0,0,0,0
834,3,0,18.0,0,0,0
209,1,0,40.0,0,0,1
178,2,0,30.0,0,0,0
785,3,0,25.0,0,0,0
271,3,0,25.0,0,0,1
476,2,0,34.0,1,0,0
774,2,1,54.0,1,3,1
286,3,0,30.0,0,0,1
620,3,0,27.0,1,0,0
625,1,0,61.0,0,0,0
96,1,0,71.0,0,0,0
508,3,0,28.0,0,0,0
614,3,0,35.0,0,0,0
307,1,1,17.0,1,0,1
357,2,1,38.0,0,0,0
887,1,1,19.0,0,0,1
788,3,0,1.0,1,2,1
160,3,0,44.0,0,1,0
3,1,1,35.0,1,0,1
423,3,1,28.0,1,1,0
748,1,0,19.0,1,0,0
387,2,1,36.0,0,0,1
801,2,1,31.0,1,1,1
851,3,0,74.0,0,0,0
432,2,1,42.0,1,0,1
263,1,0,40.0,0,0,0
687,3,0,19.0,0,0,0
749,3,0,31.0,0,0,0
259,2,1,50.0,0,1,1
817,2,0,31.0,1,1,0
216,3,1,27.0,0,0,1
23,1,0,28.0,0,0,1
467,1,0,56.0,0,0,0
746,3,0,16.0,1,1,0
326,3,0,61.0,0,0,0
195,1,1,58.0,0,0,1
525,3,0,40.5,0,0,0
395,3,0,22.0,0,0,0
59,3,0,11.0,5,2,0
327,2,1,36.0,0,0,1
188,3,0,40.0,1,1,0
150,2,0,51.0,0,0,0
820,1,1,52.0,1,1,1
521,3,0,22.0,0,0,0
879,1,1,56.0,0,1,1
146,3,0,27.0,0,0,1
27,1,0,19.0,3,2,0
626,2,0,57.0,0,0,0
646,3,0,19.0,0,0,0
458,2,1,50.0,0,0,1
319,1,1,40.0,1,1,1
9,2,1,14.0,1,0,1
471,3,0,38.0,0,0,0
782,1,0,29.0,0,0,0
251,3,1,29.0,1,1,0
644,3,1,0.75,2,1,1
745,1,0,70.0,1,1,0
152,3,0,55.5,0,0,0
62,1,0,45.0,1,0,0
723,2,0,50.0,0,0,0
99,2,0,34.0,1,0,0
660,1,0,50.0,2,0,1
871,1,1,47.0,1,1,1
394,3,1,24.0,0,2,1
390,1,0,36.0,1,2,1
312,2,1,26.0,1,1,0
574,3,0,16.0,0,0,0
617,3,1,26.0,1,0,0
569,3,0,32.0,0,0,1
520,1,1,30.0,0,0,1
38,3,1,18.0,2,0,0
225,3,0,22.0,0,0,0
210,3,0,24.0,0,0,0
744,3,0,31.0,0,0,1
805,3,0,31.0,0,0,0
645,1,0,48.0,1,0,1
219,2,0,30.0,0,0,0
137,1,0,37.0,1,0,0
191,2,0,19.0,0,0,0
80,3,0,22.0,0,0,0
545,1,0,64.0,0,0,0
296,3,0,23.5,0,0,0
91,3,0,20.0,0,0,0
89,3,0,24.0,0,0,0
363,3,0,35.0,0,0,0
795,2,0,39.0,0,0,0
443,2,1,28.0,0,0,1
88,1,1,23.0,3,2,1
628,3,0,26.0,0,0,0
328,3,1,31.0,1,1,1
482,3,0,50.0,0,0,0
491,3,0,21.0,0,0,0
608,2,1,22.0,1,2,1
157,3,0,30.0,0,0,0
90,3,0,29.0,0,0,0
516,2,1,34.0,0,0,1
399,2,1,28.0,0,0,1
662,1,0,47.0,0,0,0
796,1,1,49.0,0,0,1
683,3,0,14.0,5,2,0
170,1,0,61.0,0,0,0
197,3,0,42.0,0,1,0
418,2,0,30.0,0,0,0
311,1,1,18.0,2,2,1
273,1,0,37.0,0,1,0
786,3,1,18.0,0,0,1
370,1,0,25.0,1,0,1
282,3,0,16.0,0,0,0
764,3,0,16.0,0,0,0
414,3,0,44.0,0,0,1
756,3,0,28.0,0,0,0
373,1,0,22.0,0,0,0
823,3,1,27.0,0,1,1
770,3,0,24.0,0,0,0
703,3,0,25.0,0,0,0
752,3,0,33.0,0,0,0
222,3,0,51.0,0,0,0
668,3,0,43.0,0,0,0
100,3,1,28.0,0,0,0
463,2,0,48.0,0,0,0
838,3,0,32.0,0,0,1
572,1,0,36.0,0,0,1
480,3,0,9.0,5,2,0
34,1,0,28.0,1,0,0
341,1,1,24.0,3,2,1
791,2,0,16.0,0,0,0
120,2,0,21.0,2,0,0
592,3,0,47.0,0,0,0
175,3,0,18.0,1,1,0
440,2,1,45.0,1,1,1
424,3,0,18.0,1,1,0
500,3,0,17.0,0,0,0
889,1,0,26.0,0,0,1
800,2,0,34.0,0,0,0
757,2,0,18.0,0,0,0
624,3,0,21.0,0,0,0
345,2,1,24.0,0,0,1
269,1,1,35.0,0,0,1
138,3,0,16.0,0,0,0
567,3,1,29.0,0,4,0
144,2,0,18.0,0,0,0
237,2,1,8.0,0,2,1
510,3,0,29.0,0,0,1
484,1,0,25.0,1,0,1
848,2,0,28.0,0,1,0
742,1,1,21.0,2,2,1
172,3,1,1.0,1,1,1
151,1,1,22.0,1,0,1
843,3,0,34.5,0,0,0
447,1,0,34.0,0,0,1
153,3,0,40.5,0,2,0
117,2,0,29.0,1,0,0
381,3,1,1.0,0,2,1
671,1,0,31.0,1,0,0
92,1,0,46.0,1,0,0
376,3,1,22.0,0,0,1
130,3,0,33.0,0,0,0
678,3,1,43.0,1,6,0
230,1,1,35.0,1,0,1
112,3,0,22.0,0,0,0
542,3,1,11.0,4,2,0
58,2,1,5.0,1,2,1
246,3,1,25.0,0,0,0
594,2,0,37.0,1,0,0
559,3,1,36.0,1,0,1
342,2,0,28.0,0,0,0
177,1,1,50.0,0,0,0
10,3,1,4.0,1,1,1
813,3,1,6.0,4,2,0
285,3,0,33.0,0,0,0
798,3,0,30.0,0,0,0
587,1,0,60.0,1,1,1
784,3,0,25.0,0,0,0
872,1,0,33.0,0,0,0
124,1,0,54.0,0,1,0
609,1,1,40.0,0,0,1
469,3,1,0.75,2,1,1
623,3,0,21.0,0,0,0
435,1,1,14.0,1,2,1
85,3,1,33.0,3,0,1
355,3,0,28.0,0,0,0
249,2,0,54.0,1,0,0
21,2,0,34.0,0,0,1
71,3,1,16.0,5,2,0
882,3,1,22.0,0,0,0
389,2,1,17.0,0,0,1
279,3,1,35.0,1,1,1
215,1,1,31.0,1,0,1
857,1,0,51.0,0,0,1
528,3,0,39.0,0,0,0
558,1,1,39.0,1,1,1
642,3,1,2.0,3,2,0
167,3,1,45.0,1,4,0
429,3,0,32.0,0,0,1
479,3,1,2.0,0,1,1
67,3,0,19.0,0,0,0
430,1,0,28.0,0,0,1
599,1,0,49.0,1,0,1
833,3,0,23.0,0,0,0
845,3,0,42.0,0,0,0
68,3,1,17.0,4,2,1
206,3,0,32.0,1,0,0
720,2,1,6.0,0,1,1
254,3,1,41.0,0,2,0
361,2,0,29.0,1,0,0
753,3,0,23.0,0,0,0
605,3,0,36.0,1,0,0
496,1,1,54.0,1,0,1
616,3,0,34.0,1,1,0
551,2,0,27.0,0,0,0
40,3,1,40.0,1,0,0
192,3,1,19.0,1,0,1
715,3,0,19.0,0,0,0
374,3,1,3.0,3,1,0
850,3,0,4.0,4,2,0
16,3,0,2.0,4,1,0
287,3,0,22.0,0,0,0
751,3,0,6.0,0,1,1
344,2,0,36.0,0,0,0
640,3,0,20.0,0,0,0
329,1,1,16.0,0,1,1
806,1,0,39.0,0,0,0
534,3,1,30.0,0,0,0
523,1,1,44.0,0,1,1
258,1,1,35.0,0,0,1
220,3,0,16.0,0,0,1
847,3,0,35.0,0,0,0
690,1,0,31.0,1,0,1
173,3,0,21.0,0,0,0
807,3,1,18.0,0,0,0
136,1,1,19.0,0,2,1
161,2,1,40.0,0,0,1
243,3,0,22.0,0,0,0
509,3,0,26.0,0,0,1
499,3,0,24.0,0,0,0
704,3,0,26.0,1,0,0
402,3,1,21.0,1,0,0
297,1,1,2.0,1,2,0
141,3,1,22.0,0,0,1
884,3,0,25.0,0,0,0
377,1,0,27.0,0,2,0
707,1,0,42.0,0,0,1
165,3,0,9.0,0,2,1
403,3,0,28.0,1,0,0
761,3,0,41.0,0,0,0
322,2,1,30.0,0,0,1
725,3,0,20.0,0,0,0
515,1,0,47.0,0,0,0
713,3,0,29.0,0,0,0
133,2,1,29.0,1,0,1
291,1,1,19.0,1,0,1
132,3,1,47.0,1,0,0
63,3,0,4.0,3,2,0
369,1,1,24.0,0,0,1
79,3,1,30.0,0,0,1
417,2,1,18.0,0,2,1
207,3,0,26.0,0,0,1
262,1,0,52.0,1,1,0
453,1,0,49.0,1,0,1
600,2,1,24.0,2,1,1
853,1,1,16.0,0,1,1
416,2,1,34.0,1,1,1
442,3,0,25.0,1,0,0
841,2,0,16.0,0,0,0
227,3,0,20.5,0,0,0
549,2,0,8.0,1,1,1
302,3,0,19.0,0,0,0
460,1,0,48.0,0,0,1
380,1,1,42.0,0,0,1
541,3,1,9.0,4,2,0
883,2,0,28.0,0,0,0
244,3,0,30.0,0,0,0
767,3,1,30.5,0,0,0
54,1,0,65.0,0,1,0
708,1,1,22.0,0,0,1
0,3,0,22.0,1,0,0
228,2,0,18.0,0,0,0
316,2,1,24.0,1,0,1
352,3,0,15.0,1,1,0
11,1,1,58.0,0,0,1
607,1,0,27.0,0,0,1
546,2,1,19.0,1,0,1
818,3,0,43.0,0,0,0
652,3,0,21.0,0,0,0
338,3,0,45.0,0,0,1
494,3,0,21.0,0,0,0
434,1,0,50.0,1,0,0
886,2,0,27.0,0,0,0
114,3,1,17.0,0,0,0
7,3,0,2.0,3,1,0
579,3,0,32.0,0,0,1
804,3,0,27.0,0,0,1
655,2,0,24.0,2,0,0
636,3,0,32.0,0,0,0
631,3,0,51.0,0,0,0
204,3,0,18.0,0,0,1
267,3,0,25.0,1,0,1
824,3,0,2.0,4,1,0
728,2,0,25.0,1,0,0
842,1,1,30.0,0,0,1
407,2,0,3.0,1,1,1
822,1,0,38.0,0,0,0
61,1,1,38.0,0,0,1
51,3,0,21.0,0,0,0
686,3,0,14.0,4,1,0
280,3,0,65.0,0,0,0
474,3,1,22.0,0,0,0
449,1,0,52.0,0,0,1
874,2,1,28.0,1,0,1
86,3,0,16.0,1,3,0
41,2,1,27.0,1,0,0
202,3,0,34.0,0,0,0
349,3,0,42.0,0,0,0
741,1,0,36.0,1,0,0
543,2,0,32.0,1,0,1
860,3,0,41.0,2,0,0
498,1,1,25.0,1,2,0
638,3,1,41.0,0,5,0
433,3,0,17.0,0,0,0
289,3,1,22.0,0,0,1
396,3,1,31.0,0,0,0
539,1,1,22.0,0,2,1
218,1,1,32.0,0,0,1
446,2,1,13.0,0,1,1
147,3,1,9.0,2,2,0
281,3,0,28.0,0,0,0
257,1,1,30.0,0,0,1
171,3,0,4.0,4,1,0
129,3,0,45.0,0,0,0
365,3,0,30.0,0,0,0
57,3,0,28.5,0,0,0
530,2,1,2.0,1,1,1
743,3,0,24.0,1,0,0
310,1,1,24.0,0,0,1
585,1,1,18.0,0,2,1
472,2,1,33.0,1,2,1
43,2,1,3.0,1,2,1
193,2,0,3.0,1,1,1
604,1,0,35.0,0,0,1
852,3,1,9.0,1,1,0
735,3,0,28.5,0,0,0
821,3,0,27.0,0,0,1
